User,Content,Time,Stars
好想吃牛杂,"第一章确实是非常优秀。不过后面的章节真是极大的拉下了水平。一个简略的课本，可取之处是有许多推荐书目，虽然我对近现代也没兴趣。
这个一个月前就读完了，忘了做标记。",2020-05-25 11:12:25,推荐
这么近，那么远,“《高等院校文科教材•中国近现代史》按时间顺序，以历史发展的阶段性特征为纲安排章节，与其他相关教材相比，增加了大量有关经济变迁、思想文化发展和社会转型等方面的内容。书中既注意历史新知识的增补、传授，也注重新理论、新观点、新方法的介绍，不仅向学生讲授什么是近现代史，更引导学生学习怎样认识近现代史。促使学生将课内学习与课外学习有机结合，激发其思考与研究兴趣。”学术回顾不错。,2021-05-17 19:27:29,还行
亲爱的瑞秋,意识形态色彩比较淡，学术综述也比较多。不足之处在于有些地方写的有点乱，前面写了概况，后面又写一遍细节。再就是有些问题展开的不够，这是相较王版的《中国现代史》说的。,2020-04-22 13:48:04,推荐
philos,迂腐之论一点都不少。。。 @2019-11-14 21:45:44,2020-10-22 18:03:13,还行
楊壹白,考研用书,2021-12-29 00:03:07,还行
月亮被我啃弯的,终于看完了。,2022-05-10 19:44:56,力荐
serb,"第一章非常精彩 思路大开
重新阅读感觉二章之后没啥新意，人物还是存在标签化的问题",2022-03-04 20:10:24,推荐
勃兰登堡选侯,"好书，比李侃那个研究向度丰富多了。
最棒的是学术综论，不管是对历史本科生还是我这种外专业的都很友好。",2022-09-17 15:31:52,力荐
故事,当补充知识结构的书,2022-09-24 14:36:32,力荐
Grump,大失所望,2022-09-21 09:52:41,还行
养心斋,没有意识形态灌输，质量能再高更多……,2022-07-31 14:35:57,很差
Stefanie,很好的教材,2022-09-08 09:59:31,推荐
荒漠甘泉,读过，前半部分比较好,2022-06-19 13:20:14,推荐
心向冉之,"考研翻阅，章先生去世近两年了。
稍显冗杂。",2023-03-11 18:35:26,推荐
文孟先生,经典作品。,2023-01-28 01:57:31,力荐
🦋,翻了翻,2023-05-08 22:00:54,还行
吴世贤,复试,2023-06-09 21:56:46,推荐
审视与反思,国内最好的近代史教材之一，虽有众手编修导致的质量参差不齐，但是每章的学术综述部分是亮点。,2023-06-16 00:11:36,推荐
( ´ﾟжﾟ｀ ),21天读完，每一章最期待的就是后面的学术综论，作为教材现代史还得读本其他的补充。,2022-04-21 10:47:48,力荐
尸体,"之前大概翻过，还行吧，和其他几本主流教材相互补充吧。
这本书的一个亮点是每章后面对比较新的学术观点的简介。",2022-03-10 06:00:38,推荐
听到,备考时的教材，第一章最精彩，民国部分编的不如晚清部分好。每章后面的参考书籍、学术动态对于初学者还是很受用的。,2018-05-08 10:22:49,还行
平凡之路,整体来看，这本书的前半部分比后半部分写的要好。第一章为本书开了个好头，但是到后面没有能够坚持，可能是多人写作的原因吧。具体内容而言，学术动态是其亮点。每一章后都有相关问题的学术梳理，但是由于出版时间较早，一些观点过时，不过自己可以补充。,2022-06-23 16:16:16,推荐
劬盦,"没想到还能读一本教材
😂真是虎头蛇尾，后面的附录也没跟上
不过比某工程强太多",2018-12-26 13:30:58,还行
冠外庶缺德,考研的时候读的，算是很好的近代史教材了,2019-12-27 15:09:21,推荐
尊賢容衆,历史学教材,2020-03-23 22:42:17,推荐
毗伽暾欲谷,这可能是简中近现代史教材里相对而言“最不坏”的那一本。,2020-07-27 14:44:47,推荐
冷翠山,近代之时,2021-01-18 16:42:59,
拾时,参考书目和学术综述写得非常不错，但是本书在写解放战争那一块似乎有政治上的顾虑，几个战争的重要指挥员都提了，唯独没提林。,2020-11-26 16:10:33,推荐
转身跳进西湖,很不错,2021-01-30 10:48:14,推荐
zyh,为了考研而看，今年已经是第二次阅读了，每章最后的学术动态是亮点。总体来说在教材领域这本已经是极为不错的了。,2018-09-10 19:33:10,力荐
hain,有些再写得详细一些就好了，另外学术动态需要有些更新,2020-02-22 18:03:29,还行
静水流深,比一般性教科书增加了学术综述，并且对某些热点问题，给出了学术界的基本评价。,2019-07-31 15:28:36,推荐
王佳乐,遭罪,2020-04-09 17:13:12,推荐
乾元,"除去第一章前近代的中国社会，其余不读亦可。""前近代""不仅是历史的战场也是观点的战场，西方中心与中国中心对立，伏尔泰或狄德罗——黑格尔或韦伯、费正清或沃勒斯坦—柯文或彭慕兰、弗兰德—黄宗智—李伯重……充满着否定之否定。",2021-02-18 14:13:22,还行
風吹，风吹,近代史教材，没看完,2021-05-29 12:32:09,
哈哈,并没有那么好，第一章相对突出。,2021-05-20 17:29:38,推荐
不封不树,章老只挂了个名，连篇序跋都没写。就主体内容而言，第二、三、十一章劣，第四、十二、十三章平庸，余下较好，主要好在社会文化转变的介绍和学界新观念的吸纳上。所附学术综述水平差异大，有的与正文重复，有的完全脱节，毕竟“邀请数位博士生补写部分章节的学术综述”。,2020-09-04 11:19:47,还行
渤海隆之,"河南大学出版社2009年8月第一版，
2020年7月第4次印刷，
2021年6月26日购买。
2022年2月21日~2022.3.18阅读
历代农民起义建立的政权，不是被地主阶级镇压，就是最后蜕变为封建政权。
时人感受的历史是“一时”的历史景况，我们强调对“历史语境”的“同情理解”。强调“文本解读”，了解历史的“真相”与“多面相”，但也要从“历史长河”中审视“历史”，把握“历史”的来龙去脉，挖掘其中的时代含义和永恒真义。学习和研究历史既要注重前者，更要注重以前者为基础的后者。",2021-06-27 19:54:10,推荐
赵嘉敏,也是一本垃圾，第一章罗列了众多学术观点，让人还蛮期待的（从教科书的角度），结果后面除了新文化运动跟北伐那章引用了不少王奇生等人的观点外，其他的基本上全是复制粘贴传统垃圾教材的内容。至于这书“独特的”体例——学术综述部分，正文是压根儿没有丝毫吸收，甚至不少就是为“学术综述”而“学术综述”，应付差事糊弄上去的，这就使得本书最终其实四不像。,2021-08-12 23:35:14,较差
伊内恩,虎头蛇尾啊呜呜呜，好可惜，到民国后期章节质量开始拉胯了,2021-07-28 09:04:55,推荐
常源,时间原因，只阅读了本章小结和学术综述以及部分内容选读。比起旧版教材，这方面的进步和考量应该是最大的亮点了。本章小结、学术综述、参开书目、思考题都表现了本书在内容的上侧面创新，对于初学者来说帮助还是挺显著的。,2020-08-07 21:28:18,推荐
Stefanie,《中共中央为公布国共合作宣言》：一、孙中山先生的三民主义为中国今日之必须，本党愿为其彻底的实现而奋斗…,2021-09-05 19:44:43,力荐
难以成为理中客,近现代史教科书实在没有办法挑出可以让所有人都满意的，有时候也不能全赖编者，您说是吧,2020-03-05 18:19:34,推荐
小窗,细致入微,2021-06-25 12:27:08,力荐
hygge,前八章写的极好，自第九章及其以后，与前面的部分相比则略显不足了。,2022-10-25 19:51:10,推荐
Antiss,考研教辅，第一章写的最好，其他观点多少有点陈旧,2022-02-03 23:02:10,还行
最长情的告白,"补标，考研的时候用的。
作为教材，不错不错。",2023-04-30 15:01:29,推荐
武TX,中规中矩。,2021-11-02 22:53:44,推荐
豆友李梅,从第九章第三节讲国民大革命开始，后面真的很无聊，硬着头皮看的。精彩程度从第一章开始递减。不过很喜欢每一章的学术综述，对我这种垃圾很管用。第九章之前的内容会引导我去找很多相关资料，发散我的思维，这一部分作为教材真的编的很好。,2023-04-18 22:50:10,推荐
Francesca,,2019-10-07 13:47:56,还行
