Name,Author,Source,Date,Data
绿色信贷对长江经济带制造业碳排放效率的影响,"['黄德春', '沈雪梅', '竺运']",水利经济,2023-03-30,期刊
“双碳”背景下碳排放权会计处理探讨,"['杨宇晴', '毛慧颖']",长春工程学院学报(社会科学版),2023-03-28,期刊
“双碳”目标下网络舆论对碳排放的影响——基于链式多重中介模型的影响路径分析,['李佳佳'],城市问题,2023-03-27,期刊
能源消费碳排放的区域差异及其影响因素分析,['邓光耀'],统计与决策,2023-03-26 07:20,期刊
两高行业碳排放核查方法的研究,"['许瑞祥', '姚依国', '翟恒涛', '薛蕾', '肖远欢', '韩明']",工业计量,2023-03-26,期刊
双阶理论视域下碳排放权的法律属性及规制研究,['秦天宝'],比较法研究,2023-03-25,期刊
烧结页岩空心砖与加气混凝土砌块碳排放对比,"['陈霏', '农玉伯', '潘荣伟', '林华', '林俊豪', '朱国宁']",新型建筑材料,2023-03-25,期刊
我国省域碳排放差异及碳补偿机制比较,"['李文婷', '都海珊', '樊晓娟']",青海金融,2023-03-25,期刊
碳排放权的资产属性与碳排放权交易会计处理模式探析,['李军义'],环境保护,2023-03-25,期刊
数字经济是否抑制了农业碳排放——基于中国城市层面的经验证据,"['李鑫', '张林', '杨祝三', '齐婉竹']",西部金融,2023-03-25,期刊
临沂工业碳排放影响因素及碳减排措施研究,"['邓天一', '武兰玉']",能源与节能,2023-03-23,期刊
,,,,
环境规制对国家级城市群生态旅游产业碳排放效率的时空动态影响,"['程杰晟', '雷俊霞']",中南林业科技大学学报,2023-03-22 13:11,期刊
中日建筑全生命周期碳排放对比分析,"['郭诚', '张兴惠', '周浩', '赵俊波']",施工技术(中英文),2023-03-21 15:37,期刊
“双碳”目标下碳排放权担保制度研究,['侯国跃'],广东社会科学,2023-03-20 13:07,期刊
中欧碳排放权交易的市场化比较——基于国家金融学视角,"['蔡彤娟', '林润红', '张旭']",金融经济学研究,2023-03-20,期刊
企业碳排放权会计确认与计量,['莫卓婷'],合作经济与科技,2023-03-20,期刊
电力系统碳排放智慧运监平台研究,"['佟勃霖', '李成俊', '孟庆龙', '张诗琪', '刘尹华']",东北电力技术,2023-03-20,期刊
我国城镇化对碳排放的影响及空间溢出效应研究,['金飞'],技术与创新管理,2023-03-20,期刊
我国油脂加工行业碳排放及认证现状,"['鲁海龙', '钱瑾蓉', '杨静雯', '郑有涛', '张小勇', '杨帆']",中国油脂,2023-03-20,期刊
全国碳市场框架下辽宁碳排放权交易市场建设和优化对策研究,['姜楠'],北方经济,2023-03-20,期刊
《碳排放权交易有关会计处理暂行规定》解析,['许亚威'],中小企业管理与科技,2023-03-20,期刊
数字经济对我国碳排放的影响——基于省级面板数据的实证检验,"['王芳', '董战峰']",改革,2023-03-20,期刊
考虑碳排放成本的冷链物流配送车辆路径优化,"['程元栋', '韩佰庆']",九江学院学报(自然科学版),2023-03-20,期刊
建筑全生命周期碳排放计算分析及软件应用比较,"['钟丽雯', '于江', '祝侃', '田炜']",绿色建筑,2023-03-20,期刊
基于碳排放影响因素的城市群碳达峰研究,"['高国力', '文扬', '王丽', '徐睿宁']",经济管理,2023-03-17 13:51,期刊
基于LCA的高速公路服务区碳排放核算研究,"['吴昊', '段志宏', '方留杨', '文元勇']",交通节能与环保,2023-03-17 11:32,期刊
基于LMDI分解的山东省城乡居民生活碳排放研究,"['张全意', '李太平']",河北环境工程学院学报,2023-03-16 11:56,期刊
自然灾害-电力系统-碳排放变化的贝叶斯网络建模与估计,"['章坚民', '王雨宽', '薛禹胜', '薛峰', '常康']",电力系统自动化,2023-03-16 11:45,期刊
碳排放研究热点及其演化的知识图谱分析,"['武翠芳', '赵慧', '陈少炜']",河北环境工程学院学报,2023-03-15 10:05,期刊
上海港控制船舶碳排放立法研究,['何梦云'],中国海事,2023-03-15,期刊
环境资源产权视角下的碳排放权确认与计量,"['郑宇花', '王宝升', '李雪莲']",财会研究,2023-03-15,期刊
,,,,
数字普惠金融、技术创新与城市碳排放强度,"['李寿喜', '张珈豪']",华东师范大学学报(哲学社会科学版),2023-03-15,期刊
山东省种植业碳排放度量分析,"['宋宏恩', '姜常宜', '李树超', '孙兆明']",中国农学通报,2023-03-15,期刊
国家创新型城市建设能否促进碳排放效率——理论构建、机制分析及空间效应评估,['杨膨宇'],贵州财经大学学报,2023-03-15,期刊
我国碳排放权交易试点对试点地区碳强度及碳减排的影响研究,"['曹维焕', '钟鼎']",商展经济,2023-03-15,期刊
空间视角下绿色金融对碳排放效率的影响研究,"['杨礼渊', '陈俊营', '方俊智']",甘肃金融,2023-03-15,期刊
碳排放权融资的可行性、实践与建议,['苗军'],甘肃金融,2023-03-15,期刊
煤电企业碳排放权价值评估的应用研究——以Z公司质押贷款项目为例,"['付莉', '曹颖', '沈孟丽']",中国资产评估,2023-03-15,期刊
我国双向FDI对碳排放的空间效应研究,"['何金旗', '李广楠']",甘肃金融,2023-03-15,期刊
数字金融与碳排放效率提升的关系研究——基于中国省际面板数据分析,"['康曼', '杜运伟']",生产力研究,2023-03-15,期刊
中国水路运输碳排放驱动因素分析,"['吴慧玲', '陈亚杰', '葛世伦']",中国水运,2023-03-15,期刊
保定市农业碳排放的空间网络结构——基于社会网络分析法,"['杨子贤', '孙鑫', '陈琦若', '孙青茹']",农村经济与科技,2023-03-15,期刊
基于SBM-DEA模型中部六省碳排放效率测度与分析,"['王馨', '范敏', '谢运生']",能源研究与管理,2023-03-15,期刊
辽中南城市群碳排放时空分异特征及驱动因素分析,"['周姚姚', '刘馨蕊', '曹婷婷', '霍会杰', '李佳欣', '杨红绵']",环境生态学,2023-03-15,期刊
人口流动会抑制城市碳排放吗?——基于二元户籍制度改革的准自然实验,['徐俊武'],湖北大学学报(哲学社会科学版),2023-03-14,期刊
长三角城市群碳排放绩效与土地利用强度时空格局及协调发展特征,"['冯新惠', '李艳', '余迩', '杨佳钰', '王诗逸', '马嘉艺']",农业工程学报,2023-03-13 07:07,期刊
全球碳排放的近实时定量方法,['刘竹'],科学通报,2023-03-10,期刊
碳中和视角下的通信网络碳排放计算模型探索,['朱惠斌'],电信快报,2023-03-10,期刊
中国二氧化碳排放的空间差异及其双维内在结构解析：2000—2019年,"['刘华军', '田震', '石印']",地理研究,2023-03-09,期刊
长江经济带种植业碳排放效率空间关联网络结构及动因,"['吉雪强', '张跃松']",自然资源学报,2023-03-07,期刊
装配式建筑预制构件物流配送过程的碳排放研究,"['董树修', '王淋', '黄月', '王梦涵']",物流科技,2023-03-06,期刊
,,,,
碳排放强度与企业研发产出——高管学历与薪酬激励的联合调节作用,"['郭江山', '师琪']",华北金融,2023-03-03 14:53,期刊
环境规制工具对建筑业碳排放的影响研究,"['王幼松', '江小敏', '张扬冰']",工程管理学报,2023-03-02 09:09,期刊
建筑业碳排放效率的空间溢出效应研究,"['孙涵', '苑子義', '吴军锦']",工程管理学报,2023-03-01 17:35,期刊
中国对外直接投资的碳排放强度研究——基于省级经济政策不确定性视角,"['孙皓程', '马宁', '孙文莉']",生态经济,2023-03-01,期刊
“双减”背景下我国农业碳排放的影响因素及地区差异——基于LDMI分解和面板回归分析,"['旷爱萍', '谢凯承']",枣庄学院学报,2023-03-01,期刊
建筑碳排放计算新规范及建筑设计减碳要点探析,['卓遥'],福建建筑,2023-03-01,期刊
铝电解工业碳排放核算方法,"['李春焕', '曹阿林']",有色金属(冶炼部分),2023-02-28,期刊
异质性环境规制、空间溢出与渔业碳排放效率,"['汪克亮', '袁鸿宇']",海洋开发与管理,2023-02-28,期刊
财政支农、技术溢出与农业碳排放,"['黄伟华', '祁春节', '聂飞']",软科学,2023-02-28,期刊
我国农业碳排放的研究热点与趋势——基于CiteSpace的可视化分析,"['王巧玲', '欧阳耀树', '易新云']",农业与技术,2023-02-28,期刊
轻骨料混凝土对桥梁建设碳排放的影响分析,"['张洪俊', '王涛', '柏佳文']",特种结构,2023-02-28,期刊
碳排放管理标准体系的构建研究,['何桂琴'],皮革制作与环保科技,2023-02-28,期刊
“双碳”背景下交通运输行业碳排放影响因素研究,"['廖志高', '梁傲']",广西职业技术学院学报,2023-02-28,期刊
碳排放权的法律属性、适质性及质权实现路径,"['陈宝贵', '石晓慧']",金融发展研究,2023-02-25,期刊
“双碳”背景下我国碳排放权交易市场研究,['华峻卿'],公民与法(综合版),2023-02-25,期刊
数智化对物流业碳排放的影响研究,"['廖名岩', '田炜']",吉林工商学院学报,2023-02-25,期刊
双碳目标下企业碳排放权会计处理问题探析,['王微'],财会学习,2023-02-25,期刊
针对施工企业的碳排放核算方法研究与建议,"['黄凯', '胡小燕', '薛世伟', '侯磊', '李锦']",施工技术(中英文),2023-02-25,期刊
区域异质性视角下的碳排放、经济增长与产业结构——基于PVAR模型的实证研究,"['郭娜娜', '乔英', '高岳林']",科技和产业,2023-02-25,期刊
产业结构、空间溢出与碳排放强度,"['官芷怡', '傅浣溪', '黄和亮', '苏志庆']",内江师范学院学报,2023-02-25,期刊
,,,,
装配式建筑建造全过程碳排放分析与研究,"['武涛', '李松', '廖聪', '许贵传', '陈煌勇']",施工技术(中英文),2023-02-25,期刊
碳排放权交易政策对企业绿色技术创新的影响,"['丁海勇', '韩增华']",洛阳师范学院学报,2023-02-25,期刊
基于BIM-LCA的建筑物碳排放测算与实例研究,"['高项荣', '李春丽']",山西能源学院学报,2023-02-25,期刊
粮食主产区农业碳排放效率时空演变及影响因素研究,"['侯宇', '张宏胜', '杨尚钊', '耿芳艳']",新疆农垦经济,2023-02-24 15:18,期刊
湖北省农业碳排放及基于K-means聚类算法的县级碳排放研究,"['张再杰', '杨伟芳']",云南农业大学学报(社会科学),2023-02-23 14:54,期刊
中国省域碳排放绩效时空演变与技术创新驱动研究,"['程钰', '张悦', '王晶晶']",地理科学,2023-02-23 14:30,期刊
基于CiteSpace的国内外碳排放权研究现状与趋势分析,"['杨丽', '牛远远', '马青青']",上海节能,2023-02-23,期刊
团体标准《热处理行业碳排放核算方法》解读,"['张永武', '李琨', '余维江', '吕东显', '佟晓辉']",热处理技术与装备,2023-02-23,期刊
我国产业碳排放结构测算及其启示,"['覃盈盈', '廖尧']",西南金融,2023-02-22 16:27,期刊
碳排放权交易违约罚则与履约责任优化路径,"['王世进', '杨琳']",山东财经大学学报,2023-02-22 09:17,期刊
洞庭湖区域土地利用变化的碳排放效应研究,"['阳凯', '王奕文', '黄春华', '王志远', '何曦冉']",生态科学,2023-02-22,期刊
“双碳”背景下内蒙古碳排放情景仿真模拟研究,"['马越峰', '刘爽']",河北环境工程学院学报,2023-02-20 11:22,期刊
2022中国城镇污水处理碳排放研究报告,,城乡建设,2023-02-20,期刊
含硫气田水除硫过程能耗及碳排放分析,"['饶冬', '郭威', '岳龙', '张羽鑫', '吴鹏斌', '胡祥芳']",油气田地面工程,2023-02-20,期刊
基于预算定额的公路工程建造阶段碳排放计算模型构建与分析,['黄志勇'],福建交通科技,2023-02-20,期刊
我国污泥处理处置路径中的碳排放分析,['印辉阳'],产业科技创新,2023-02-15,期刊
基于超效率SBM模型的省域建筑业碳排放效率及影响因素分析,"['李龙', '周盛世', '孙瑞鸿']",内蒙古工业大学学报(自然科学版),2023-02-15,期刊
技术进步和经营规模对农业碳排放的影响研究,"['祝伟', '王瑞梅']",农业经济,2023-02-15,期刊
新疆畜牧业碳排放测算及动态演变分析,"['李娜', '石晶']",环境污染与防治,2023-02-15,期刊
低碳、近零碳、零碳公共建筑碳排放控制指标研究,"['张时聪', '王珂', '徐伟']",建筑科学,2023-02-15,期刊
,,,,
低碳、近零碳、零碳居住建筑碳排放控制指标研究,"['张时聪', '王珂', '杨芯岩', '徐伟']",建筑科学,2023-02-15,期刊
近零能耗公共建筑示范工程全寿命期碳排放研究,"['杨芯岩', '于震', '张时聪', '王骞', '吕梦一', '徐伟']",建筑科学,2023-02-15,期刊
社区碳排放计算边界及技术指标分析研究,"['刘常平', '张时聪', '杨芯岩', '徐伟']",建筑科学,2023-02-15,期刊
基于关键因素敏感度分析的低碳社区碳排放控制指标研究,"['张时聪', '刘常平', '吕燕捷', '徐伟']",建筑科学,2023-02-15,期刊
建筑碳排放标准化计算的电力碳排放因子取值研究,"['张时聪', '王珂', '徐伟']",建筑科学,2023-02-15,期刊
基于生命周期的电商物流碳排放系统动力学模型研究,"['吴小珍', '周千宇']",物流工程与管理,2023-02-15,期刊
基于随机森林算法的辽宁省建筑业碳排放影响因素重要度研究,"['孔凡文', '张贵恒', '王英华']",沈阳建筑大学学报(社会科学版),2023-02-15,期刊
基于一次能源的重庆市碳排放环境库兹涅茨曲线研究,['傅俊越'],云南化工,2023-02-15,期刊
考虑碳排放的生鲜农产品冷链物流配送路径优化模型,"['邓红星', '周洁', '胡翼']",重庆理工大学学报(自然科学),2023-02-15,期刊
云南省城市营运柴油货车碳排放测度及空间分异特征,"['戢晓峰', '王娟', '陈方', '王艺霏', '普永明']",公路交通科技,2023-02-15,期刊
长三角地区2000—2019年黑碳排放核算及其不确定性,"['李舒惠', '曹闪闪', '杨依', '程丹阳', '樊林平', '刘敏']",地球环境学报,2023-02-15,期刊
2000-2020年中国种植业碳排放驱动因素及预测分析,"['蔡景丽', '顾佳艳', '陈敏', '谢丽萍', '何国富']",环境科学与技术,2023-02-15,期刊
中国农地流转对农业碳排放强度的影响及作用机制研究,"['吉雪强', '刘慧敏', '张跃松']",中国土地科学,2023-02-15,期刊
纤维素乙醇生命周期碳排放评价,['陈栋'],化工与医药工程,2023-02-15,期刊
新发展阶段居民家庭碳排放核算及影响因素研究,"['韩君', '牛士豪', '高瀛璐']",兰州财经大学学报,2023-02-10,期刊
道路建设期碳排放核算方法与减排技术综述,"['牛凯', '朱晓东', '张兴宇']",交通节能与环保,2023-02-07 16:09,期刊
实施碳排放权交易制度对我国电力企业资本结构的影响,"['王二菊', '峥宇', '陈省宏']",上海商学院学报,2023-02-07 11:00,期刊
碳排放权质押融资模式研究,"['贺聪', '江红波']",中国产经,2023-02-07,期刊
地方政府竞争、科技创新与碳排放,"['李光龙', '陈小雨']",南京审计大学学报,2023-02-06 16:56,期刊
“双碳”目标下都市圈碳排放协同治理研究,"['易成栋', '曾石安']",中共中央党校(国家行政学院)学报,2023-02-01,期刊
,,,,
碳排放权交易、产业转型升级与经济高质量增长,"['刘晓燕', '鲍静海', '孙文娜']",技术经济与管理研究,2023-01-26,期刊
城镇化、低碳技术创新与碳排放效率,['陶焘'],技术经济与管理研究,2023-01-26,期刊
中国人口老龄化对碳排放影响的时空异质性研究,['崔月彤'],统计理论与实践,2023-01-25,期刊
基于船舶日志的船舶主机碳排放核查,['薛树业'],航海,2023-01-25,期刊
宁波市碳排放测算与分解效应研究,"['余杨', '冯浩博']",统计科学与实践,2023-01-25,期刊
“双碳”目标下碳排放第三方核查机制的制度省思与法治完善,['罗凡'],环境保护,2023-01-25,期刊
我国农业碳排放时空演变特征研究,"['张希栋', '杨程博', '刘静']",环境保护,2023-01-25,期刊
钢结构装配式住宅物化阶段碳排放研究,"['宋志茜', '罗晓予', '葛坚']",建筑技术,2023-01-25,期刊
基于RFID的预制混凝土构件物化阶段碳排放跟踪计算,"['方卓祯', '徐照']",施工技术(中英文),2023-01-25,期刊
融合多源遥感数据的长株潭城市群碳排放时空差异分析,"['王孟杰', '王艳军', '李少春', '林云浩', '滕菲', '蔡恒藩']",测绘通报,2023-01-25,期刊
清洁能源转型下关键金属产业链碳排放研究综述与展望,"['朱学红', '李双美', '曾安琪']",资源科学,2023-01-25,期刊
生产性服务业集聚对碳排放效率的影响——基于长江经济带108个城市企业数据的分析,"['及添正', '邓宏兵', '张天铃']",资源科学,2023-01-25,期刊
2000—2020年中国畜牧业区域碳排放公平性与排放效率,"['戴小文', '李金花', '何艳秋', '王芳']",资源科学,2023-01-25,期刊
农地流转对农业碳排放的影响及空间特性,"['吉雪强', '李卓群', '张跃松']",资源科学,2023-01-25,期刊
2022年12月碳排放权交易市场动态,,造纸信息,2023-01-25,期刊
“双碳”背景下碳排放交易制度与企业价值研究,"['林萍', '林梦婷', '林伯强']",会计与经济研究,2023-01-25,期刊
金融发展、产业结构与碳排放研究——基于黄河流域资源型城市面板数据的机制检验,['夏勇'],西部金融,2023-01-25,期刊
中国城镇化对交通运输业碳排放的空间效应研究,"['田泽', '肖玲颖', '刘超', '王雨璇', '任阳军']",技术经济,2023-01-25,期刊
工业智能化对中国工业碳排放效率的影响及空间效应研究,"['王艳秋', '陶思佳']",技术经济,2023-01-25,期刊
基于时间序列的民用运输航空器碳排放预测研究,"['向小军', '杨志晗', '赵赶超']",现代计算机,2023-01-25,期刊
,,,,
井工煤矿开采全生命周期碳排放特征研究,"['曹原广', '刘娜']",煤炭工程,2023-01-20,期刊
环境规制对碳排放效率的多重性影响,"['江三良', '鹿才保']",商业研究,2023-01-20,期刊
基于超效率SBM和ML的航空公司碳排放效率研究,"['魏中许', '牟健']",舰船电子工程,2023-01-20,期刊
双碳目标下的中国碳排放政策评价,"['赵晓春', '吴子珺', '孙群', '周瑛']",统计与决策,2023-01-19 17:14,期刊
河北省农作物生产投入品碳排放变化特征,"['山楠', '肖广敏', '串丽敏', '孙秀君']",中国农业气象,2023-01-19,期刊
双碳目标下县域空间的减碳潜力与策略路径——基于浙江省碳排放权的解析与分配,"['周从越', '王竹', '裘知', '张钊']",浙江大学学报(理学版),2023-01-19,期刊
“双碳”目标下高铁开通影响城市碳排放的机制及效果,"['徐超', '徐振宇']",长沙理工大学学报(社会科学版),2023-01-18,期刊
“双碳”目标下中国省域碳排放公平性及其影响因素,"['刘志华', '徐军委']",地理科学,2023-01-16 16:47,期刊
能源消费背景下河南省碳排放测算及碳达峰预测,"['王倩倩', '娄媛媛', '张鹏岩', '王春晖', '朱慧儒', '张金炳', '刘振岳']",河南大学学报(自然科学版),2023-01-16,期刊
中国碳排放权交易政策的理论基础、演进逻辑及创新发展,"['王丛虎', '骆飞']",中共天津市委党校学报,2023-01-15,期刊
数字经济何以促进碳减排——基于城市碳排放强度和碳排放效率的考察,"['江三良', '贾芳芳']",调研世界,2023-01-15,期刊
长江经济带交通运输业碳排放效率测算及空间特征分析,['付雪妮'],物流工程与管理,2023-01-15,期刊
基于LCA理论的典型饮品咖啡碳排放足迹分析研究,"['张子华', '万绪同', '杨雪', '潘诗悦', '张林杰', '郭文嘉']",农业与技术,2023-01-15,期刊
国家速滑馆建造过程碳排放分析,"['苏振华', '陈利敏', '祖建', '李久林', '李少华', '唐俊甜']",建筑技术,2023-01-15,期刊
“双碳”目标下我国碳排放权交易机制的减排机理及路径,"['张修凡', '付宁宁']",长沙大学学报,2023-01-15,期刊
全球价值链视角下的出口与碳排放——对“倒U型”关系的再检验,"['刘瑶', '张军', '耿燕']",国际贸易问题,2023-01-15,期刊
我国区域城镇化的碳排放效率时空动态效应研究,['吴旭晓'],区域经济评论,2023-01-15,期刊
“碳中和”目标下的中国省域碳排放效率测算,"['韩君', '牛士豪']",杭州师范大学学报(社会科学版),2023-01-15,期刊
基于LCA的沥青路面施工期碳排放模型及特征研究,"['张兴宇', '朱晓东', '左贵强', '牛凯']",城市道桥与防洪,2023-01-15,期刊
算准碳排放  企业有“方案”,['林琪'],环境,2023-01-15,期刊
,,,,
甘肃省农业碳排放区域差异、时空特征及趋势预测,"['陈睿涛', '李薇', '燕振刚']",草业科学,2023-01-15,期刊
碳中和目标下土地利用碳排放效率及其时空格局——以黄河流域72个地级市为例,"['冯薇', '赵荣钦', '谢志祥', '丁明磊', '肖连刚', '孙锦', '杨青林', '刘天昊', '尤增涛']",中国土地科学,2023-01-15,期刊
“双碳”目标背景下碳排放治理路径研究,['苏泽鹏'],环境科学与管理,2023-01-15,期刊
成渝城市群陆地碳排放时空变化及效应研究,"['廖祥', '杨鑫', '牛振生']",环境科学与技术,2023-01-15,期刊
绿色税收、产业结构升级与长三角地区碳排放——基于动态空间杜宾模型的实证分析,"['方杏村', '周咏琦']",安徽理工大学学报(社会科学版),2023-01-15,期刊
内蒙古自治区工业能源碳排放影响因素分析,['许馨戈'],内蒙古科技与经济,2023-01-15,期刊
京津冀城市群产业结构、土地利用效益与碳排放的耦合协同发展研究,['刘云青'],江西农业学报,2023-01-15,期刊
技术创新与碳排放效率耦合协调关系及驱动力研究——以装备制造业细分行业为例,"['冯俊华', '韩美']",环境污染与防治,2023-01-13,期刊
基于BP神经网络的车辆碳排放测算研究,"['彭美春', '阳晨', '李君平', '叶伟斌', '黄文伟']",广东工业大学学报,2023-01-13,期刊
农业机械化对农业碳排放的影响——来自粮食主产区的实证,"['贺青', '张俊飚', '张虎']",统计与决策,2023-01-12 09:17,期刊
工业要素配置引致碳排放效率损益的逻辑探究,['刘天森'],现代商贸工业,2023-01-12,期刊
长江经济带碳排放时空差异及影响因素分析,"['田慧敏', '王向前']",西安文理学院学报(自然科学版),2023-01-12,期刊
碳排放的空间关联：基于两阶段SYS-GMM的实证研究,"['何立华', '金地']",中南民族大学学报(自然科学版),2023-01-12,期刊
光纤激光焊接的碳排放建模与多响应评价,"['吴剑钊', '孙家豪', '张超勇', '曹华军', '葛威威']",机械工程学报,2023-01-11 15:12,期刊
